Aircraft model,Engines,First flight
Aero Modifications AMI DC-3-65TP,turboprop (2),1986
Aero Spacelines Mini Guppy Turbine,turboprop (4),1970
Aeromarine 75,piston (2),1920
Aérospatiale SN.601 Corvette,jet (2),1970
Aérospatiale/Aeritalia ATR-42,turboprop (2),1984
Aérospatiale/Aeritalia ATR-72,turboprop (2),1988
Airbus A220 / Bombardier Cseries,jet (2),2013
Airbus A220-100,jet (2),2013
Airbus A220-300,jet (2),2015
Airbus A300,jet (2),1972
Airbus A310,jet (2),1982
Airbus A318,jet (2),2002
Airbus A319,jet (2),1995
Airbus A319/320/321,jet (2),1987
Airbus A319neo,jet (2),2017
Airbus A320,jet (2),1987
Airbus A320neo,jet (2),2014
Airbus A321,jet (2),1993
Airbus A321neo,jet (2),2016
Airbus A330,jet (2),1992
Airbus A340,jet (4),1991
Airbus A350 XWB,jet (2),2013
Airbus A380,jet (4),2005
Airbus Military A400M,turboprop (4),2009
Airspeed AS.57 Ambassador,piston (2),1947
Alenia C-27J,turboprop (2),1999
Alenia G-222,turboprop (2),1970
all models BAe-125/HS-125/DH-125,jet (2),1962
Antonov An-10,turboprop (4),1957
Antonov An-12,turboprop (4),1957
Antonov An-124,jet (4),1982
Antonov An-140,turboprop (2),1997
Antonov An-148,jet (2),2004
Antonov An-178,jet (2),2015
Antonov An-2,piston (1),1947
Antonov An-22,turboprop (4),1965
Antonov An-225,jet (6),1988
Antonov An-24,turboprop (2),1959
Antonov An-26,turboprop (2),1969
Antonov An-28 / PZL M-28,turboprop (2),1969
Antonov An-30,turboprop (2),1967
Antonov An-32,turboprop (2),1976
Antonov An-38,turboprop (2),1994
Antonov An-70,turboprop (4),1994
Antonov An-72 / An-74,jet (2),1977
Antonov An-8,turboprop (2),1956
Armstrong Whitworth Argosy,piston (3),1926
Armstrong Whitworth AW-650 Argosy,turboprop (4),1959
Armstrong Whitworth AW.15 Atalanta,piston (4),1932
Armstrong Whitworth AW.27 Ensign,piston (4),1938
ATECO Westwind II,turboprop (2),
Avcen Jetpod,jet (2),2009
Avia 14,piston (2),1956
Aviation Traders ATL-98 Carvair,piston (4),1961
AVIC AG600,turboprop (4),2017
Avro 642 Eighteen,piston (2),1934
Avro 685 York,piston (4),1942
Avro 688/9 Tudor,piston (4),1945
Avro 691 Lancastrian,piston (4),1943
Avro Canada C102 Jetliner,jet (4),1949
Avro Shackleton,piston (4),1949
Baade 152,jet (4),1958
BAC One-Eleven,jet (2),1963
BAC/Aérospatiale Concorde,jet (4),1969
"BAe-125-600, -700",jet (2),1971
"BAe-125-800, Hawker 750, 800, 850",jet (2),1983
Basler Turbo-67 (BT-67),turboprop (2),1990
Beechcraft (Super) King Air,turboprop (2),1969
Beechcraft 100 King Air,turboprop (2),1969
Beechcraft 1900,turboprop (2),1982
Beechcraft 34 Twin Quad,piston (4),1947
Beechcraft 99,turboprop (2),1966
Beechcraft Beechjet 400,jet (2),1986
Beechcraft Super King Air,turboprop (2),1972
Beriev Be-200,jet (2),1998
Beriev Be-30,turboprop (2),1967
Blackburn Beverley,piston (4),1950
Blériot 155,piston (4),1925
Bloch 220,piston (2),1936
Boeing 314,piston (4),1938
Boeing 377 Stratocruiser,piston (4),1947
Boeing 707,jet (4),1957
Boeing 717,jet (2),1998
