Airport name,IATA code,ICAO code
Bagram Air Base,OAI,OAIX
Bamyan Airport,BIN,OABN
Bost/Lashkar Gah Airport,BST,OABT
Dwyer Airport,DWR,OADY
Farah Airport,FAH,OAFR
Herat Airport,HEA,OAHR
Jalalabad Airport,JAA,OAJL
Kabul Airport,KBL,OAKB
Kabul-Hamid Karzai International Airport,KBL,OAKB
Kabul-Khwaja Rawash Airport,KBL,OAKB
Kandahar Airport,KDH,OAKN
Khost Airport,KHT,OAKS
Kunduz Airport,UND,OAUZ
Maimana Airport,MMZ,OAMN
Mazar-I-Sharif Airport,MZR,OAMS
Nili Airport,,OANL
Qalat Airstrip,,
Sardeh Band Airport,SBF,OADS
Shank Forward Operating Base,OAA,
Shindand Airport,OAH,OASD
Tarin Kowt Airport,TII,OATN
Uruzgan Airport,URZ,OARG
Walan Rabat Landing Zone,,
Zaranj Airport,ZAJ,OAZJ
Kukes Airstrip,,LAKU
Tirana-Rinas Airport,TIA,LATI
Algiers Harbour Seaplane Base,,
Algiers-Dar el Beida Airport,ALG,DAAG
Algiers-Houari Boumediene Airport,ALG,DAAG
Algiers-Maison Blanche Airport,ALG,DAAG
Annaba-Les Salines Airport,AAE,DABB
Béchar-Leger Airport,CBH,DAOC
Biskra Airport,BSK,DAUB
Blida Airport,QLD,DAAB
Boufarik Air Base,,DAAK
Colomb-Béchar Airport,CBH,DAOC
Constantine-Ain el Bey Airport,CZL,DABC
Constantine-Mohamed Boudiaf International Airport,CZL,DABC
Djanet-Inedbirenne Airport,DJG,DAAJ
Ghardaïa-Noumérat Airport,GHA,DAUG
Hassi Messaoud-Oued Irara Airport,HME,DAUH
Hassi R'Mel-Tilrempt Airport,HRM,DAFH
In Amenas Airport,IAM,DAUZ
In Guezzam Airport,INF,DATG
In Salah Airport,INZ,DAUI
Menzel Lejmat North,,
Oran-es Senia Airport,ORN,DAOO
Oran-Tafaraoui Airport,TAF,DAOL
Ouargla-Ain Beida Airport,OGX,DAUU
Reggan Airport,,DAAN
Sétif-Ain Arat Airport,QSF,DAAS
Tamanrasset Airport,TMR,DAAT
Tamanrasset-Aguemar Airport,TMR,DAAT
Tébessa Airport,TEE,DABS
Tindouf Airport,TIN,DAOF
Tlemcen-Zenata Airport,TLM,DAON
Fituita Airport,FTI,NSFQ
Pago Pago International Airport,PPG,NSTU
Tau Airport,TAV,
Benguela-Gen V Deslandes Airport,BUG,FNBG
