"September 17, 1908",Fort Myer,Virginia,Demonstration,,Wright Flyer III,Military - U.S. Army,2   ,1   ,"During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge, 26, who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later."
"September 07, 1909",Juvisy-sur-Orge,France,Air show,,Wright Byplane,,1   ,1   ,"Eugene Lefebvre was the first pilot to ever be killed in an air accident, after his controls jambed while flying in an air show."
"July 12, 1912",Atlantic City,New Jersey,Test flight,,Dirigible,Military - U.S. Navy,5   ,5   ,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight."
"August 06, 1913",Victoria,British Columbia,,,Curtiss seaplane,Private,1   ,1   ,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed."
"September 09, 1913",Over the North Sea,,,,Zeppelin L-1 (airship),Military - German Navy,20   ,14   ,The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.
"October 17, 1913",Near Johannisthal,Germany,,,Zeppelin L-2 (airship),Military - German Navy,30   ,30   ,"Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft.."
"March 05, 1915",Tienen,Belgium,,,Zeppelin L-8 (airship),Military - German Navy,41   ,21   ,Crashed into trees while attempting to land after being shot down by British and French aircraft.
"September 03, 1915",Off Cuxhaven,Germany,,,Zeppelin L-10 (airship),Military - German Navy,19   ,19   ,"Exploded and burned near Neuwerk Island,  when hydrogen gas, being vented, was ignited by lightning."
"July 28, 1916",Near Jambol,Bulgeria,,,Schutte-Lanz S-L-10 (airship),Military - German Army,20   ,20   ,"Crashed near the Black Sea, cause unknown."
"September 24, 1916",Billericay,England,,,Zeppelin L-32 (airship),Military - German Navy,22   ,22   ,Shot down by British aircraft crashing in flames.
"October 01, 1916",Potters Bar,England,,,Zeppelin L-31 (airship),Military - German Navy,19   ,19   ,Shot down in flames by the British 39th Home Defence Squadron.
"November 21, 1916",Mainz,Germany,,,Super Zeppelin (airship),Military - German Army,28   ,27   ,Crashed in a storm.
"November 28, 1916",Off West Hartlepool,England,,,Zeppelin L-34 (airship),Military - German Navy,20   ,20   ,Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.
"March 04, 1917",Near Gent,Belgium,,,Airship,Military - German Army,20   ,20   ,Caught fire and crashed.
"March 30, 1917",Off Northern Germany,,,,Schutte-Lanz S-L-9 (airship),Military - German Navy,23   ,23   ,Struck by lightning and crashed into the Baltic Sea.
"May 14, 1917",Near Texel Island,North Sea,,,Zeppelin L-22 (airship),Military - German Navy,21   ,21   ,"Crashed into the sea from an altitude of 3,000 ft. after being hit by British aircraft fire."
"June 14, 1917",Off Vlieland Island,North Sea,,,Zeppelin L-43 (airship),Military - German Navy,24   ,24   ,Shot down by British aircraft.
"June 17, 1917",Near Yarmouth,England,,,Zepplin LZ-95 (air ship),,16   ,14   ,Shot down by aircraft.
"August 21, 1917",Off western Denmark,,,,Zeppelin L-23 (airship),Military - German Navy,18   ,18   ,Shot down by British aircraft.
"October 20, 1917",Near Luneville,France,,,Zeppelin L-44 (airship),Military - German Navy,18   ,18   ,Shot down by French anti-aircraft fire.
"April 07, 1918",Over the Mediterranean,,,,Zeppelin L-59 (airship),Military - German Navy,23   ,23   ,Exploded and crashed into the sea off the southern coast of Italy.
"May 10, 1918",Off Helgoland Island,Germany,,,Zeppelin L-70 (airship),Military - German Navy,22   ,22   ,"Shot down by British aircraft crashing from a height of 17,000 ft."
"August 11, 1918",Ameland Island,North Sea,,,Zeppelin L-53 (airship),Military - German Navy,19   ,19   ,Shot down by british aircraft.
"December 16, 1918",Elizabeth,New Jersey,,,De Havilland DH-4,US Aerial Mail Service,1   ,1   ,Carl Smith was killed when his mail plane feet 500 feet while attempting to land. He tried to reposition the aircraft after the wind shifted and lost control of the plane and dived into the ground.
"May 25, 1919",Cleveland,Ohio,,,De Havilland DH-4,US Aerial Mail Service,1   ,1   ,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.
"July 19, 1919",Dix Run,Pennsylvania,,,De Havilland DH-4,US Aerial Mail Service,1   ,1   ,The mail plane crashed under unknown circumstances.
"July 21, 1919",Chicago,Illinois,Shuttle,,FD Type Dirigible,Wingfoot Air Express Goodyear Tire,,3   ,"The dirigible, cruising at 1,200 ft. caught fire and crashed into the Illinois Trust and Savings Building in Chicago. The was transporting people from Grant Park to the White City amusement park.[1] One crew member, two passengers, and ten bank employees were killed"
"August 02, 1919",Verona,Italy,Venice  Taliedo,,Caproni Ca.48,Caproni Company,14   ,14   ,As the plane was passing over Verona the wings began to flutter and then collapsed and crashed. Sources differ as to the number of deaths with some reporting 15 or 17.
"October 02, 1919",Newcastle,England,,,De Havilland DH-4,Aircraft Transport and Travel,1   ,1   ,
"October 14, 1919",Cantonsville,Maryland,,,Curtiss R-4LM,US Aerial Mail Service,1   ,1   ,"The pilot was performing a mail flight to Baltimore. While on final approach, in fog, the aircraft hit tree tops and crashed into the woods."
"October 20, 1919",English Channel off Forkstone,Kent,,,De Havilland DH-4,Aircraft Transport and Travel,0   ,0   ,Crashed into the sea while attempting to land in fog.
"October 30, 1919",Long Valley,New Jersey,,,De Havilland DH.4,US Aerial Mail Service,1   ,1   ,"While on a mail flight to New York the pilot encountered bad weather conditions and reduced his altitude to maintain a visual contact with the ground. Eventually, he decided to make an emergency landing in Long Valley, west of Newark. Aircraft hit the ground and crashed."
"December 11, 1919",Catherham,Surrey,Paris,Hounslow,de Havilland DH-4,Aircraft Travel Transport,1   ,1   ,Crashed in a field while attemptting to land.
"March 10, 1920",New Paris,Indiana,,,De Havilland DH-4,US Aerial Mail Service,1   ,1   ,"While on a a mail flight, the aircraft hit trees in fog and crashed in a wooded area."
"March 30, 1920",Newark,New Jersey,Washington,Newark,De Havilland DH-4,US Aerial Mail Service,1   ,1   ,George Sherlock was killed when his mail plane crashed into a chimney while attempting to land at Heller Field in poor visibility.
"April 10, 1920",Newark,New Jersey,,,Curtiss R-4LM,US Aerial Mail Service,2   ,1   ,After a fire erupted in flight the pilot decided to make an emergency landing but the aircraft crashed.
"April 11, 1920",Heller Field,New Jersey,,,Curtiss JN-4H,US Aerial Mail Service,2   ,1   ,The aircraft crashed while on approach for unknown reasons.
"May 12, 1920",Oskaloosa,Iowa,,,De Havilland DH-4,US Aerial Mail Service,2   ,1   ,"In worsening weather conditions, the pilot lost his sense of orientation and crashed in a field."
"June 06, 1920",Cleveland,Ohio,,,De Havilland DH-4,US Aerial Mail Service,1   ,1   ,The aircraft suffered engine failure and crashed shortly after taking off.
"July 20, 1920",Cartagena,Columbia,,,Farman F-40,Compañia Colombiana de Navegación Aérea,1   ,1   ,Crashed while taking off after engine failure. Engine failure due to fuel exhaustion.
"August 16, 1920",Bedford,England,,,Armstrong-Whitworth F-K-8,By Air,1   ,1   ,The plane crashed during a cargo flight under unknown circumstances.
"August 16, 1920",College Park,Maryland,,,De Havilland DH-4,US Aerial Mail Service,1   ,1   ,"While approaching in poor visibility to land, the plane hit a radio mast and crashed in flames."
