,Unnamed: 0,Unnamed: 0.1,state,abbreviation,country
0,0,0,Alabama,AL,United States of America
1,1,1,Alaska,AK,United States of America
2,2,2,Arizona,AZ,United States of America
3,3,3,Arkansas,AR,United States of America
4,4,4,California,CA,United States of America
5,5,5,Colorado,CO,United States of America
6,6,6,Connecticut,CT,United States of America
7,7,7,Delaware,DE,United States of America
8,8,8,District of Columbia,DC,United States of America
9,9,9,Florida,FL,United States of America
10,10,10,Georgia,GA,United States of America
11,11,11,Hawaii,HI,United States of America
12,12,12,Idaho,ID,United States of America
13,13,13,Illinois,IL,United States of America
14,14,14,Indiana,IN,United States of America
15,15,15,Iowa,IA,United States of America
16,16,16,Kansas,KS,United States of America
17,17,17,Kentucky,KY,United States of America
18,18,18,Louisiana,LA,United States of America
19,19,19,Maine,ME,United States of America
20,20,20,Montana,MT,United States of America
21,21,21,Nebraska,NE,United States of America
22,22,22,Nevada,NV,United States of America
23,23,23,New Hampshire,NH,United States of America
24,24,24,New Jersey,NJ,United States of America
25,25,25,New Mexico,NM,United States of America
26,26,26,New York,NY,United States of America
27,27,27,North Carolina,NC,United States of America
28,28,28,North Dakota,ND,United States of America
29,29,29,Ohio,OH,United States of America
30,30,30,Oklahoma,OK,United States of America
31,31,31,Oregon,OR,United States of America
32,32,32,Maryland,MD,United States of America
33,33,33,Massachusetts,MA,United States of America
34,34,34,Michigan,MI,United States of America
35,35,35,Minnesota,MN,United States of America
36,36,36,Mississippi,MS,United States of America
37,37,37,Missouri,MO,United States of America
38,38,38,Pennsylvania,PA,United States of America
39,39,39,Rhode Island,RI,United States of America
40,40,40,South Carolina,SC,United States of America
41,41,41,South Dakota,SD,United States of America
42,42,42,Tennessee,TN,United States of America
43,43,43,Texas,TX,United States of America
44,44,44,Utah,UT,United States of America
45,45,45,Vermont,VT,United States of America
46,46,46,Virginia,VA,United States of America
47,47,47,Washington,WA,United States of America
48,48,48,West Virginia,WV,United States of America
49,49,49,Wisconsin,WI,United States of America
50,50,50,Wyoming,WY,United States of America
